standardized_state,state_name,record_type,source_name,coverage_scope,refresh_date
AL,Alabama,ARREST,Dekalb County,STATEWIDE,2024-05-02
AL,Alabama,COURT,Uncategorized,STATEWIDE,2024-05-02
AL,Alabama,ARREST,Covington County,STATEWIDE,2024-05-02
AL,Alabama,ARREST,Chambers County,STATEWIDE,2024-05-02
AL,Alabama,ARREST,St. Mary County,STATEWIDE,2024-05-02
AL,Alabama,ARREST,Shelby County,STATEWIDE,2024-05-02
AL,Alabama,ARREST,Jackson County,STATEWIDE,2024-05-02
AL,Alabama,ARREST,Etowah County,Etowah,2024-05-02
AL,Alabama,COURT,Uncategorized,Escambia County,2024-05-02
AR,Arkansas,ARREST,Crittenden County,STATEWIDE,2024-05-02
AR,Arkansas,WARRANT,Ar Kensett Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Ouachita County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Clay,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Madison,2024-06-28
AR,Arkansas,ARREST,Garland County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Marion County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Izard,2024-06-28
AR,Arkansas,ARREST,Pulaski County,Pulaski,2024-05-02
AR,Arkansas,ARREST,Montgomery County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Lawrence,2024-06-28
AR,Arkansas,WARRANT,Ar Independence County Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Searcy,2024-06-28
AR,Arkansas,ARREST,Clay County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Boone County,STATEWIDE,2024-05-02
AR,Arkansas,WARRANT,Ar Washington Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Pope,2024-06-28
AR,Arkansas,ARREST,Monroe County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Lincoln,2024-06-28
AR,Arkansas,ARREST,Tuscaloosa County,Tuscaloosa,2024-05-02
AR,Arkansas,ARREST,Faulkner County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Scott,2024-06-28
AR,Arkansas,ARREST,Lonoke County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,St. Francis County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Pulaski,2024-06-28
AR,Arkansas,ARREST,Crawford County,Crawford,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Woodruff,2024-06-28
AR,Arkansas,ARREST,Saint Francis County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Chicot County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Baxter,2024-06-28
AR,Arkansas,ARREST,Washington County,Prairie,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Craighead,2024-06-03
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Jefferson,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Hempstead,2024-06-28
AR,Arkansas,ARREST,Little River County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Cabot Pd,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Clark County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Poinsett County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Cross County,STATEWIDE,2024-05-02
AR,Arkansas,WARRANT,Ar Conway County Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Grant County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Polk County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Lee,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Lonoke,2024-06-28
AR,Arkansas,WARRANT,Ar Faulkner Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Chicot,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Poinsett,2024-06-28
AR,Arkansas,ARREST,Houston County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Lawrence County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Cleveland County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Columbia County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Shelby County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Stone,2024-06-28
AR,Arkansas,ARREST,Sebastian County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Marion,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Dallas,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Ouachita,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Montgomery,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Calhoun,2024-05-02
AR,Arkansas,ARREST,Unknown County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Mississippi,2024-05-02
AR,Arkansas,COURT,Uncategorized,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Johnson,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Polk,2024-06-28
AR,Arkansas,ARREST,Union County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Benton,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Saline,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Drew,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Logan,2024-05-31
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Monroe,2024-06-28
AR,Arkansas,ARREST,Perry County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Scott County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Greene County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Lafayette,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Columbia,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Garland,2024-06-28
AR,Arkansas,ARREST,St Francis County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Fulton,2024-06-28
AR,Arkansas,SOR,Sex Offender Registry S2,STATEWIDE,2024-05-02
AR,Arkansas,WARRANT,Ar Union County Warrant,Union,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Miller,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Boone,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Washington,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Crawford,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Fulton & Sharp,2024-05-02
AR,Arkansas,ARREST,Washington County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Ar Arrest,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Elmore County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,STATEWIDE,2024-06-28
AR,Arkansas,ARREST,Uncategorized,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Bradley,2024-06-28
AR,Arkansas,ARREST,Jefferson County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Hot Spring County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Independence,2024-06-28
AR,Arkansas,ARREST,Miller County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Pope County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Mississippi County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Ashley County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Nevada,2024-05-02
AR,Arkansas,SOR,Arkansas Sex Offender Registry,STATEWIDE,2024-05-02
