State,Record Type,Source Name,Coverage Level,Last Refresh,Record Count
AK,SOR,Alaska Sex Offender Registry,Juneau City And Borough,2024-05-02 00:00:00,138
AK,SOR,Alaska Sex Offender Registry,Nome Census Area,2024-05-02 00:00:00,177
AK,Court,Alaska Administrative Office Of The Courts,Prince Of Wales-Hyder Census Area,2024-11-14 00:00:00,17918
AK,Court,Alaska Administrative Office Of The Courts,Chugach Census Area ,2025-07-16 00:00:00,53
AK,Court,Alaska Administrative Office Of The Courts,Chugach Census Area,2024-11-14 00:00:00,8410
AK,SOR,Alaska Sex Offender Registry,,2024-05-02 00:00:00,355
AK,SOR,Alaska Sex Offender Registry,Citrus,2024-05-02 00:00:00,2
AK,Court,Alaska Administrative Office Of The Courts,Ketchikan Gateway Borough,2024-11-14 00:00:00,71496
AK,Court,Alaska Administrative Office Of The Courts,Northwest Arctic Borough,2025-07-16 00:00:00,25098
AK,Court,Alaska Administrative Office Of The Courts,Fairbanks North Star Borough,2024-11-14 00:00:00,328308
AK,Court,Alaska Administrative Office Of The Courts,Aleutians West Borough,2024-11-14 00:00:00,15094
AK,Court,Alaska Administrative Office Of The Courts,Yukon-Koyukuk Census Area,2024-11-14 00:00:00,46250
AK,SOR,Alaska Sex Offender Registry,Branch,2024-05-02 00:00:00,2
AK,SOR,Alaska Sex Offender Registry,Gogebic County,2024-05-02 00:00:00,1
AK,SOR,Alaska Sex Offender Registry,Josephine,2024-05-02 00:00:00,1
AK,Court,Alaska Administrative Office Of The Courts,Southeast Fairbanks Census Area,2024-11-14 00:00:00,39528
AK,SOR,Alaska Sex Offender Registry,,2024-05-02 00:00:00,2
AK,SOR,Alaska Sex Offender Registry,Los Angeles,2024-05-02 00:00:00,3
AK,SOR,Alaska Sex Offender Registry,Dillingham Census Area,2024-05-02 00:00:00,91
AK,SOR,Alaska Sex Offender Registry,Aleutians West Borough,2024-05-02 00:00:00,11
AL,Arrest,Mecklenburg County,,2024-05-02 00:00:00,2
AL,Arrest,Alabama Arrest,Lee County,2025-07-22 00:00:00,382
AL,Arrest,Lawrence County,,2025-07-07 00:00:00,6453
AL,DOC,Alabama Department Of Corrections,,2024-11-13 00:00:00,59254
AL,Arrest,Blount County,,2024-05-02 00:00:00,507
AL,Arrest,Marion County,Marion,2025-07-07 00:00:00,25851
AL,Arrest,York County,,2024-05-02 00:00:00,1
AL,Arrest,Alabama Arrest,St. Clair County,2025-07-22 00:00:00,1139
AL,Arrest,Cleburne County,,2025-03-09 00:00:00,2951
AL,Arrest,Alabama Arrest,Etowah County,2025-07-22 00:00:00,1022
AL,Arrest,Russell County,,2025-07-07 00:00:00,4495
AL,Arrest,Arrest/Us/National/Arrests,Dekalb County,2025-08-04 00:00:00,56
AL,Court,Uncategorized,Franklin,2024-05-02 00:00:00,14
AL,Arrest,Alabama Arrest,Mobile County,2025-07-22 00:00:00,3653
AL,Arrest,Coosa County,Coosa,2025-07-07 00:00:00,6572
AL,Arrest,Dale County,,2024-05-02 00:00:00,304
AL,Arrest,Chambers County,Chambers,2025-07-07 00:00:00,18963
AL,Arrest,Alabama Arrest,Butler County,2025-07-26 00:00:00,234
AL,Arrest,Alabama Arrest,Tuscaloosa County,2025-07-22 00:00:00,1790
AL,Arrest,Escambia County,,2025-07-07 00:00:00,8342
AL,Arrest,Marion County,,2024-05-02 00:00:00,1007
AL,Arrest,Alabama Arrest,Walker County,2025-07-22 00:00:00,82
AL,Court,Uncategorized,Gila,2024-05-02 00:00:00,14
AL,Arrest,Alabama Arrest,Jefferson County,2025-07-22 00:00:00,1948
AL,Arrest,Pike County,,2024-05-02 00:00:00,228
AL,Arrest,Uncategorized,,2024-05-02 00:00:00,71419
AL,Arrest,Alabama Arrest,Monroe County,2025-07-22 00:00:00,221
AL,Arrest,Arrest/Us/National/Arrests,Etowah County,2025-08-04 00:00:00,99
AL,Arrest,Houston County,Houston,2025-07-07 00:00:00,59969
AL,Arrest,Alabama Arrest,Marion County,2025-07-22 00:00:00,323
AL,Arrest,Alabama Arrest,Autauga County,2025-07-26 00:00:00,463
AL,Arrest,Alabama Arrest,Dekalb County,2025-07-22 00:00:00,592
AL,Arrest,Arrest/Us/National/Arrests,Cherokee County,2025-08-04 00:00:00,25
AL,Arrest,Tallapoosa County,,2025-07-07 00:00:00,1989
AL,Arrest,Lauderdale County,Lauderdale,2025-07-07 00:00:00,12103
AL,Arrest,St. Clair County,St. Clair,2025-03-09 00:00:00,16279
