State,County Records
AK,4
AL,36131
AR,30741
AZ,3820
CA,74704
CO,14812
CT,3040
FL,5714415
GA,64383
IA,10271
ID,4150
IL,21083
IN,40429
KS,12589
KY,44012
MD,2149
ME,1142
MI,16525
MN,13295
MO,14292
MS,14936
MT,15838
NC,62346
ND,3351
NE,2066
NJ,7727
NM,11871
NV,5099
NY,4540
OH,39517
OK,21253
OR,20313
PA,4853
SC,34722
SD,2545
TN,32725
TX,150447
UT,13562
VA,1432934
VT,1341
WA,20967
WI,17251
WV,9122
WY,508
