standardized_state,state_name,record_type,source_name,coverage_scope,court_level,refresh_date,record_count
IN,Indiana,ARREST,Dearborn County,STATEWIDE,N/A,2024-05-02,822
IN,Indiana,ARREST,Dubois County,Dubois,N/A,2025-07-07,61825
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Laporte County,N/A,2025-08-04,88
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Henry,COUNTY,2025-07-16,51020
IN,Indiana,WARRANT,In Lagrange County Warrants,Larange,N/A,2024-05-02,922
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Marion,COUNTY,2025-07-16,69760
IN,Indiana,DOC,Indiana Department Of Corrections,Knox,N/A,2024-05-02,676
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Vigo,COUNTY,2024-05-02,12222
IN,Indiana,DOC,Indiana Department Of Corrections,Delaware,N/A,2024-05-02,3134
IN,Indiana,ARREST,Marshall County,STATEWIDE,N/A,2025-07-07,868
IN,Indiana,ARREST,La Porte County,Laporte,N/A,2025-07-07,10213
IN,Indiana,ARREST,Porter County,STATEWIDE,N/A,2024-05-02,727
IN,Indiana,DOC,Indiana Department Of Corrections,Wabash,N/A,2024-05-02,1429
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Vanderburgh,COUNTY,2024-05-02,18538
IN,Indiana,ARREST,Spencer County,STATEWIDE,N/A,2025-07-07,1048
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,St. Joseph,COUNTY,2025-01-14,222236
IN,Indiana,DOC,Indiana Department Of Corrections,Lawrence,N/A,2024-05-02,1198
IN,Indiana,ARREST,Indiana Arrest,Pike County,N/A,2025-07-24,145
IN,Indiana,ARREST,Indiana Arrest,Whitley County,N/A,2025-07-24,355
IN,Indiana,ARREST,Allen County,STATEWIDE,N/A,2025-07-07,26144
IN,Indiana,DOC,Indiana Department Of Corrections,Greene,N/A,2024-05-02,932
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Daviess,COUNTY,2025-07-16,6189
IN,Indiana,ARREST,Adams County,STATEWIDE,N/A,2025-07-07,1576
IN,Indiana,ARREST,Indiana Arrest,Putnam County,N/A,2025-07-27,262
IN,Indiana,ARREST,Randolph County,STATEWIDE,N/A,2024-05-02,142
IN,Indiana,ARREST,Sullivan County,STATEWIDE,N/A,2025-07-07,3532
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Clinton,COUNTY,2024-05-02,2928
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Elkhart,COUNTY,2025-02-14,16811
IN,Indiana,DOC,Indiana Department Of Corrections,STATEWIDE,N/A,2025-08-02,241588
IN,Indiana,ARREST,Indiana Arrest,Wayne County,N/A,2025-07-24,452
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Brown County,N/A,2025-08-04,7
IN,Indiana,DOC,Indiana Department Of Corrections,Montgomery,N/A,2024-05-02,1742
IN,Indiana,DOC,Indiana Department Of Corrections,Bartholomew,N/A,2024-05-02,2720
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Knox County,N/A,2025-08-04,40
IN,Indiana,ARREST,Howard County,STATEWIDE,N/A,2024-05-02,853
IN,Indiana,ARREST,Indiana Arrest,Vigo County,N/A,2025-07-27,1306
IN,Indiana,DOC,Indiana Department Of Corrections,Grant,N/A,2024-05-02,2447
IN,Indiana,DOC,Indiana Department Of Corrections,Kosciusko,N/A,2024-05-02,2377
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Montgomery County,N/A,2025-08-04,41
IN,Indiana,WARRANT,In Tippecanoe County Most Wanted,Tippecanoe,N/A,2024-05-02,23574
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Warren,COUNTY,2024-05-02,20460
IN,Indiana,ARREST,Indiana Arrest,Dubois County,N/A,2025-07-24,166
IN,Indiana,ARREST,Hendricks County,STATEWIDE,N/A,2024-05-02,867
IN,Indiana,WARRANT,In Bartholomew County Most Wanted 1,STATEWIDE,N/A,2024-05-02,3
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Perry County,N/A,2025-08-04,10
IN,Indiana,DOC,Indiana Department Of Corrections,Huntington,N/A,2024-05-02,2797
IN,Indiana,ARREST,Oakland County,STATEWIDE,N/A,2024-05-02,3
IN,Indiana,ARREST,Dearborn County,Dearborn,N/A,2025-07-07,33370
IN,Indiana,DOC,Indiana Department Of Corrections,Hancock,N/A,2024-05-02,1436
IN,Indiana,DOC,Indiana Department Of Corrections,Wayne,N/A,2024-05-02,5131
IN,Indiana,DOC,Indiana Department Of Corrections,Posey,N/A,2024-05-02,824
IN,Indiana,COURT,Laporte County Clerk Of Courts,Laporte,COUNTY,2024-05-02,3179
IN,Indiana,ARREST,St Joseph County,St. Joseph,N/A,2025-07-07,23819
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,STATEWIDE,STATEWIDE,2025-07-16,1880518
IN,Indiana,ARREST,Madison County,Madison,N/A,2025-07-07,140870
IN,Indiana,WARRANT,In Noble County Most Wanted,Noble,N/A,2024-05-02,1808
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Fountain,COUNTY,2025-01-14,3652
IN,Indiana,ARREST,Indiana Arrest,Knox County,N/A,2025-07-24,364
IN,Indiana,ARREST,Huntington County,STATEWIDE,N/A,2025-07-07,3745
IN,Indiana,ARREST,Washington County,STATEWIDE,N/A,2024-05-02,331
IN,Indiana,DOC,Indiana Department Of Corrections,Decatur,N/A,2024-05-02,1103
IN,Indiana,DOC,Indiana Department Of Corrections,Warrick,N/A,2024-05-02,984
IN,Indiana,ARREST,Montgomery County,STATEWIDE,N/A,2024-05-02,570
IN,Indiana,WARRANT,In Wells County Most Wanted,STATEWIDE,N/A,2024-05-02,844
IN,Indiana,DOC,Indiana Department Of Corrections,Marshall,N/A,2024-05-02,2059
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Randolph,COUNTY,2024-05-02,890
IN,Indiana,ARREST,Indiana Arrest,Perry County,N/A,2025-07-24,106
IN,Indiana,ARREST,Indiana Arrest,Monroe County,N/A,2025-07-24,632
IN,Indiana,DOC,Indiana Department Of Corrections,Hendricks,N/A,2024-05-02,3598
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Bartholomew,COUNTY,2024-05-02,5833
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Marion,COUNTY,2024-10-14,112437
IN,Indiana,ARREST,Hendricks County,Hendricks,N/A,2024-05-02,1218
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Floyd,COUNTY,2025-01-14,75593
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Porter,COUNTY,2025-01-14,32864
IN,Indiana,ARREST,Lawrence County,STATEWIDE,N/A,2025-07-07,2186
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Tippecanoe,COUNTY,2025-02-14,5613
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Tipton,COUNTY,2024-05-02,4853
IN,Indiana,ARREST,Posey County,STATEWIDE,N/A,2025-07-07,2422
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Laporte,COUNTY,2024-05-02,11521
IN,Indiana,ARREST,Indiana Arrest,Dearborn County,N/A,2025-07-24,334
IN,Indiana,ARREST,Indiana Arrest,Steuben County,N/A,2025-07-24,352
IN,Indiana,DOC,Indiana Department Of Corrections,Wells,N/A,2024-05-02,1056
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Dearborn,COUNTY,2025-07-16,26485
IN,Indiana,WARRANT,In Indianapolis Fbi Most Wanted,STATEWIDE,N/A,2024-05-02,5
IN,Indiana,ARREST,St. Joseph County,St. Joseph,N/A,2025-03-09,96792
IN,Indiana,ARREST,Starke County,Starke,N/A,2025-07-07,8929
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Fulton,COUNTY,2025-07-16,31934
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Dubois,COUNTY,2025-07-16,7158
IN,Indiana,ARREST,Vigo County,Vigo,N/A,2024-05-02,3716
IN,Indiana,ARREST,Hancock County,Hancock,N/A,2025-07-07,93354
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Grant,COUNTY,2025-07-16,52426
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Elkhart,COUNTY,2025-01-14,37589
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Kosciusko,COUNTY,2025-07-16,5152
IN,Indiana,DOC,Indiana Department Of Corrections,Sullivan,N/A,2024-05-02,865
IN,Indiana,DOC,Indiana Department Of Corrections,Lagrange,N/A,2024-05-02,1609
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Greeene,COUNTY,2024-05-02,3814
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Laporte,COUNTY,2025-07-16,148694
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Jasper,COUNTY,2024-05-02,6416
IN,Indiana,DOC,Indiana Department Of Corrections,Porter,N/A,2024-05-02,2484
IN,Indiana,WARRANT,In Allen County Warrants,Allen,N/A,2024-05-02,51519
IN,Indiana,ARREST,St. Joseph County,STATEWIDE,N/A,2024-05-02,85
IN,Indiana,DOC,Indiana Department Of Corrections,Jennings,N/A,2024-05-02,1329
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Hancock,COUNTY,2025-07-16,8747
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Jennings,COUNTY,2025-07-16,24398
IN,Indiana,DOC,Indiana Department Of Corrections,Laporte,N/A,2024-05-02,2545
IN,Indiana,ARREST,Laporte County,Laporte,N/A,2025-03-09,240664
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Starke,COUNTY,2024-05-02,834
IN,Indiana,ARREST,Hancock County,STATEWIDE,N/A,2024-05-02,936
IN,Indiana,ARREST,Indiana Arrest,Rush County,N/A,2025-07-24,103
IN,Indiana,ARREST,Indiana Arrest,Boone County,N/A,2025-07-24,643
IN,Indiana,ARREST,Pike County,STATEWIDE,N/A,2025-07-07,1069
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Miami,COUNTY,2025-07-16,10226
IN,Indiana,ARREST,Indiana Arrest,Laporte County,N/A,2025-07-24,994
IN,Indiana,ARREST,Indiana Arrest,St. Joseph County,N/A,2025-07-24,1353
IN,Indiana,ARREST,Indiana Arrest,Washington County,N/A,2025-07-24,204
IN,Indiana,DOC,Indiana Department Of Corrections,Fulton,N/A,2024-05-02,978
IN,Indiana,ARREST,Putnam County,Putnam,N/A,2025-07-07,9202
IN,Indiana,ARREST,Indiana Arrest,Lawrence County,N/A,2025-07-24,305
IN,Indiana,ARREST,Indiana Arrest,Newton County,N/A,2025-07-24,80
IN,Indiana,ARREST,Tippecanoe County,Tippecanoe,N/A,2024-05-02,2219
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Jasper,COUNTY,2025-01-14,3888
IN,Indiana,DOC,Indiana Department Of Corrections,Dearborn,N/A,2024-05-02,2453
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Posey,COUNTY,2025-01-14,8237
IN,Indiana,ARREST,Delaware County,Delaware,N/A,2024-05-02,19232
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Dearborn County,N/A,2025-08-04,55
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Porter,COUNTY,2024-05-02,120657
IN,Indiana,ARREST,Scott County,STATEWIDE,N/A,2024-05-02,404
IN,Indiana,ARREST,Grant County,Grant,N/A,2024-05-02,37288
IN,Indiana,ARREST,Indiana Arrest,Hendricks County,N/A,2025-07-24,644
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Spencer,COUNTY,2025-07-16,7632
IN,Indiana,ARREST,Perry County,STATEWIDE,N/A,2024-05-02,366
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Boone,COUNTY,2025-07-16,40570
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Clark,COUNTY,2025-07-16,31554
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Dekalb,COUNTY,2025-07-16,5606
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Pike,COUNTY,2025-07-16,5620
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Lagrange,COUNTY,2025-07-16,6637
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Decatur,COUNTY,2025-07-16,8230
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Vigo County,N/A,2025-08-04,94
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Washington County,N/A,2025-08-04,14
IN,Indiana,ARREST,Madison County,STATEWIDE,N/A,2024-05-02,1847
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Vigo,COUNTY,2025-07-16,138547
IN,Indiana,ARREST,Laporte County,STATEWIDE,N/A,2024-05-02,439
IN,Indiana,ARREST,Monroe County,STATEWIDE,N/A,2025-07-07,7621
IN,Indiana,DOC,Indiana Department Of Corrections,STATEWIDE,N/A,2024-05-02,461960
IN,Indiana,ARREST,Blackford County,STATEWIDE,N/A,2025-07-07,1203
IN,Indiana,ARREST,Jefferson County,STATEWIDE,N/A,2025-07-07,7713
IN,Indiana,ARREST,Boone County,STATEWIDE,N/A,2024-05-02,1292
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Cass,COUNTY,2025-01-14,9520
IN,Indiana,ARREST,Shelby County,STATEWIDE,N/A,2024-05-02,887
IN,Indiana,DOC,Indiana Department Of Corrections,Fayette,N/A,2024-05-02,1166
IN,Indiana,WARRANT,In Steuben County Warrant,Steuben,N/A,2024-05-02,4314
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Putnam,COUNTY,2025-07-16,6444
IN,Indiana,ARREST,Indiana Arrest,Sullivan County,N/A,2025-07-24,245
IN,Indiana,ARREST,Indiana Arrest,Jasper County,N/A,2025-07-24,173
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Delaware,COUNTY,2024-05-02,6562
IN,Indiana,ARREST,Indiana Arrest,Martin County,N/A,2025-07-24,8
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Boone County,N/A,2025-08-04,78
IN,Indiana,ARREST,Boone County,Boone,N/A,2025-07-07,113248
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Huntington,COUNTY,2025-01-14,11961
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Brown,COUNTY,2024-05-02,1099
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Shelby,COUNTY,2025-01-14,8116
IN,Indiana,DOC,Indiana Department Of Corrections,Clay,N/A,2024-05-02,835
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Monroe,COUNTY,2024-05-02,35678
IN,Indiana,ARREST,Henderson County,STATEWIDE,N/A,2024-05-02,1
IN,Indiana,ARREST,Indiana Arrest,Posey County,N/A,2025-07-24,288
IN,Indiana,DOC,Indiana Department Of Corrections,Rush,N/A,2024-05-02,865
IN,Indiana,ARREST,Lagrange County,STATEWIDE,N/A,2025-07-07,2021
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Huntington,COUNTY,2024-05-02,36791
IN,Indiana,ARREST,Essex County,STATEWIDE,N/A,2024-05-02,1
IN,Indiana,ARREST,Knox County,STATEWIDE,N/A,2024-05-02,557
IN,Indiana,ARREST,Warrick County,STATEWIDE,N/A,2025-07-07,2557
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Carroll,COUNTY,2025-01-14,5798
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Monroe,COUNTY,2025-01-14,110698
IN,Indiana,WARRANT,In Allen County Most Wanted,Allen,N/A,2024-05-02,13595
IN,Indiana,ARREST,Putnam County,STATEWIDE,N/A,2024-05-02,218
IN,Indiana,ARREST,Madison County,Madison,N/A,2024-05-02,2293
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Floyd,COUNTY,2024-05-02,98086
IN,Indiana,DOC,Indiana Department Of Corrections,Lake,N/A,2024-05-02,9138
IN,Indiana,ARREST,Clay County,STATEWIDE,N/A,2024-05-02,510
IN,Indiana,ARREST,Perry County,Perry,N/A,2025-07-07,8703
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Allen,COUNTY,2025-01-14,135491
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Adams,COUNTY,2025-07-16,5139
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Montgomery,COUNTY,2025-07-16,42412
IN,Indiana,ARREST,Whitley County,Whitley,N/A,2025-07-07,48229
IN,Indiana,DOC,Indiana Department Of Corrections,Marion,N/A,2024-05-02,45576
IN,Indiana,ARREST,Indiana Arrest,Lagrange County,N/A,2025-07-24,240
IN,Indiana,ARREST,Indiana Arrest,Marion County,N/A,2025-07-27,7009
IN,Indiana,ARREST,Wabash County,STATEWIDE,N/A,2025-07-07,1513
IN,Indiana,ARREST,Daviess County,STATEWIDE,N/A,2025-07-07,2844
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Pulaski,COUNTY,2025-07-16,2951
IN,Indiana,ARREST,Dekalb County,De Kalb,N/A,2025-07-07,6052
IN,Indiana,WARRANT,In Bartholomew County Most Wanted,STATEWIDE,N/A,2024-05-02,9
IN,Indiana,WARRANT,In Steuben County Most Wanted,Steuben,N/A,2024-05-02,2240
IN,Indiana,ARREST,Indiana Arrest,Hamilton County,N/A,2025-07-24,1710
IN,Indiana,ARREST,Delaware County,STATEWIDE,N/A,2024-05-02,333
IN,Indiana,ARREST,Knox County,Knox,N/A,2025-07-07,57291
IN,Indiana,ARREST,Vigo County,STATEWIDE,N/A,2024-05-02,39
IN,Indiana,ARREST,Wells County,STATEWIDE,N/A,2025-07-07,1545
IN,Indiana,ARREST,Indiana Arrest,Randolph County,N/A,2025-07-24,53
IN,Indiana,DOC,Indiana Department Of Corrections,Cass,N/A,2024-05-02,1027
IN,Indiana,DOC,Indiana Department Of Corrections,Morgan,N/A,2024-05-02,1791
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Warren,COUNTY,2024-05-02,287370
IN,Indiana,ARREST,Indiana Arrest,Dekalb County,N/A,2025-07-24,595
IN,Indiana,ARREST,Indiana Arrest,Hancock County,N/A,2025-07-24,340
IN,Indiana,ARREST,Arrest/Us/National/Arrests,St. Joseph County,N/A,2025-08-04,199
IN,Indiana,ARREST,In Arrest,STATEWIDE,N/A,2024-05-02,3
IN,Indiana,ARREST,Indiana Arrest,Fountain County,N/A,2025-07-24,127
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Fayette,COUNTY,2025-01-14,1881
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Vanderburgh County,N/A,2025-08-04,211
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Scott County,N/A,2025-08-04,27
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Allen County,N/A,2025-08-04,237
IN,Indiana,ARREST,Indiana Arrest,Fulton County,N/A,2025-07-24,323
IN,Indiana,ARREST,Indiana Arrest,Spencer County,N/A,2025-07-24,149
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Dubois County,N/A,2025-08-04,26
IN,Indiana,DOC,Indiana Department Of Corrections,Shelby,N/A,2024-05-02,2817
IN,Indiana,ARREST,Dubois County,STATEWIDE,N/A,2024-05-02,674
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Harrison,COUNTY,2024-05-02,18294
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Vermillion,COUNTY,2025-07-16,844
IN,Indiana,DOC,Indiana Department Of Corrections,Putnam,N/A,2024-05-02,1658
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Kosciusko,COUNTY,2024-05-02,6063
IN,Indiana,ARREST,Indiana Arrest,STATEWIDE,N/A,2025-05-15,21268
IN,Indiana,ARREST,Indiana Arrest,Lake County,N/A,2025-07-24,3393
IN,Indiana,ARREST,Indiana Arrest,Daviess County,N/A,2025-07-24,139
IN,Indiana,ARREST,Macomb County,STATEWIDE,N/A,2024-05-02,1
IN,Indiana,WARRANT,In Crown Point Police Warrants,STATEWIDE,N/A,2024-05-02,89
IN,Indiana,ARREST,Indiana Arrest,Huntington County,N/A,2025-07-24,243
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Marshall,COUNTY,2025-07-16,65199
IN,Indiana,DOC,Indiana Department Of Corrections,Ripley,N/A,2024-05-02,1088
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Morgan,COUNTY,2025-07-16,3560
IN,Indiana,ARREST,Howard County,Howard,N/A,2024-05-02,1373
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Madison,COUNTY,2025-07-16,19660
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Scott,COUNTY,2024-05-02,15921
IN,Indiana,WARRANT,In Howard Warrant,Howard,N/A,2024-05-02,5997
IN,Indiana,WARRANT,In Tippecanoe Warrant,Tippecanoe,N/A,2024-05-02,17300
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Clay,COUNTY,2025-07-16,4560
IN,Indiana,DOC,Indiana Department Of Corrections,Floyd,N/A,2024-05-02,1526
IN,Indiana,ARREST,Clay County,Clay,N/A,2025-07-07,18424
IN,Indiana,ARREST,Hamilton County,STATEWIDE,N/A,2024-05-02,3899
IN,Indiana,ARREST,Webster County,STATEWIDE,N/A,2024-05-02,11
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Hendricks,COUNTY,2024-05-02,5569
IN,Indiana,ARREST,Indiana Arrest,Starke County,N/A,2025-07-24,180
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Madison County,N/A,2025-08-04,123
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Wayne County,N/A,2025-08-04,44
IN,Indiana,ARREST,Randolph County,Randolph,N/A,2025-07-07,11810
IN,Indiana,DOC,Indiana Department Of Corrections,Allen,N/A,2024-05-02,12440
IN,Indiana,DOC,Indiana Department Of Corrections,Carroll,N/A,2024-05-02,808
IN,Indiana,ARREST,Indiana Arrest,Montgomery County,N/A,2025-07-24,243
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Rush,COUNTY,2025-01-14,1939
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Orange,COUNTY,2024-05-02,2280
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Clark,COUNTY,2025-07-16,173610
IN,Indiana,ARREST,Indiana Arrest,Brown County,N/A,2025-07-24,81
IN,Indiana,ARREST,Grant County,STATEWIDE,N/A,2024-05-02,1169
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,St. Joseph,COUNTY,2024-05-02,16831
IN,Indiana,ARREST,Indiana Arrest,Crawford County,N/A,2025-07-24,77
IN,Indiana,ARREST,Indiana Arrest,Allen County,N/A,2025-07-24,2023
IN,Indiana,ARREST,Indiana Arrest,Pulaski County,N/A,2025-07-24,159
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Wayne,COUNTY,2025-07-16,7154
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Hamilton,COUNTY,2025-07-16,133562
IN,Indiana,ARREST,Vanderburgh County,STATEWIDE,N/A,2024-05-02,669
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Scott,COUNTY,2025-01-14,6228
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Elkhart,COUNTY,2025-07-16,94
IN,Indiana,ARREST,Indiana Arrest,Clay County,N/A,2025-07-24,1713
IN,Indiana,DOC,Indiana Department Of Corrections,Hamilton,N/A,2024-05-02,5722
IN,Indiana,DOC,Indiana Department Of Corrections,Gibson,N/A,2024-05-02,675
IN,Indiana,DOC,Indiana Department Of Corrections,Harrison,N/A,2024-05-02,1106
IN,Indiana,ARREST,Indiana Arrest,Shelby County,N/A,2025-07-24,284
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Lake,COUNTY,2025-01-14,103096
IN,Indiana,ARREST,Indiana Arrest,Warrick County,N/A,2025-07-24,308
IN,Indiana,DOC,Indiana Department Of Corrections,Vanderburgh,N/A,2024-05-02,8210
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Whitley County,N/A,2025-08-04,28
IN,Indiana,ARREST,Crawford County,STATEWIDE,N/A,2025-07-07,1005
IN,Indiana,ARREST,Indiana Arrest,Elkhart County,N/A,2025-07-24,1346
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Delaware,COUNTY,2025-07-16,108974
IN,Indiana,DOC,Indiana Department Of Corrections,Madison,N/A,2024-05-02,6371
IN,Indiana,ARREST,Howard County,Howard,N/A,2025-07-07,194962
IN,Indiana,DOC,Indiana Department Of Corrections,Henry,N/A,2024-05-02,1451
IN,Indiana,ARREST,Montgomery County,Montgomery,N/A,2025-07-07,30947
IN,Indiana,DOC,Indiana Department Of Corrections,Jay,N/A,2024-05-02,693
IN,Indiana,DOC,Indiana Department Of Corrections,Noble,N/A,2024-05-02,2508
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Henry,COUNTY,2024-05-02,5765
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,White,COUNTY,2025-07-16,268
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Shelby County,N/A,2025-08-04,44
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Pulaski County,N/A,2025-08-04,11
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Owen,COUNTY,2024-05-02,10226
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Franklin,COUNTY,2025-07-16,69204
IN,Indiana,ARREST,Indiana Arrest,Scott County,N/A,2025-07-24,227
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Ripley,COUNTY,2025-07-16,10734
IN,Indiana,WARRANT,In Lake County Warrants,Lake,N/A,2024-05-02,1995
IN,Indiana,DOC,Indiana Department Of Corrections,Dekalb,N/A,2024-05-02,1364
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,Newton,COUNTY,2025-07-16,6308
IN,Indiana,DOC,Indiana Department Of Corrections,Clark,N/A,2024-05-02,2462
IN,Indiana,ARREST,Arrest/Us/National/Arrests,Cass County,N/A,2025-08-04,47
IN,Indiana,ARREST,Indiana Arrest,Tipton County,N/A,2025-07-24,230
IN,Indiana,COURT,Hamilton Municipal Court,Hamilton,COUNTY,2024-05-02,21048
IN,Indiana,ARREST,Fulton County,STATEWIDE,N/A,2024-05-02,822
IN,Indiana,ARREST,Marion County,Marion,N/A,2025-07-07,266738
IN,Indiana,ARREST,Porter County,Porter,N/A,2025-07-07,32831
IN,Indiana,DOC,Indiana Department Of Corrections,Steuben,N/A,2024-05-02,1050
IN,Indiana,DOC,Indiana Department Of Corrections,Jasper,N/A,2024-05-02,723
IN,Indiana,WARRANT,In Madison County Warrant,Madison,N/A,2024-05-02,5892
IN,Indiana,SOR,Indiana Sex Offender Registry,STATEWIDE,N/A,2025-07-28,15606
IN,Indiana,ARREST,Indiana Arrest,Tippecanoe County,N/A,2025-07-24,1028
IN,Indiana,ARREST,Ripley County,Ripley,N/A,2024-05-02,3937
IN,Indiana,COURT,Indiana Administrative Office Of The Courts,White,COUNTY,2025-02-14,5967
IN,Indiana,ARREST,Shelby County,Shelby,N/A,2025-07-07,39328
IN,Indiana,ARREST,Tippecanoe County,Tippecanoe,N/A,2025-07-07,30240
IN,Indiana,ARREST,Scott County,Scott,N/A,2025-07-07,17269
IN,Indiana,DOC,Indiana Department Of Corrections,Monroe,N/A,2024-05-02,2900
IN,Indiana,WARRANT,In Dekalb County Most Wanted,De Kalb,N/A,2024-05-02,1489
IN,Indiana,COURT,Madison County Clerk Of Courts,Madison,COUNTY,2024-05-02,1124
IN,Indiana,DOC,Indiana Department Of Corrections,Boone,N/A,2024-05-02,1169
IN,Indiana,ARREST,Laporte County,Laporte,N/A,2024-05-02,1450
IN,Indiana,DOC,Indiana Department Of Corrections,Scott,N/A,2024-05-02,969
IN,Indiana,DOC,Indiana Department Of Corrections,Jackson,N/A,2024-05-02,1660
