standardized_state,state_name,record_type,source_name,coverage_scope,court_level,refresh_date,record_count
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Bethel Census Area,COUNTY,2024-11-14,48387
AK,Alaska,SOR,Alaska Sex Offender Registry,Kitsap,N/A,2024-05-02,7
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Juneau City And Borough,COUNTY,2025-07-16,149699
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Copper River Census Area,COUNTY,2025-07-16,211
AK,Alaska,ARREST,Anchorage Police Department,Anchorage Municipality,N/A,2024-05-02,1891
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Anchorage Municipality,COUNTY,2024-11-14,1022386
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Anchorage Municipality,COUNTY,2025-07-16,17200
AK,Alaska,SOR,Alaska Sex Offender Registry,Anchorage Municipality,N/A,2024-05-02,804
AK,Alaska,SOR,Alaska Sex Offender Registry,Juneau City And Borough,N/A,2024-05-02,138
AK,Alaska,SOR,Alaska Sex Offender Registry,Nome Census Area,N/A,2024-05-02,177
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Prince Of Wales-Hyder Census Area,COUNTY,2024-11-14,17918
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Chugach Census Area,COUNTY,2025-07-16,53
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Chugach Census Area,COUNTY,2024-11-14,8410
AK,Alaska,SOR,Alaska Sex Offender Registry,STATEWIDE,N/A,2024-05-02,355
AK,Alaska,SOR,Alaska Sex Offender Registry,Citrus,N/A,2024-05-02,2
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Ketchikan Gateway Borough,COUNTY,2024-11-14,71496
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Northwest Arctic Borough,COUNTY,2025-07-16,25098
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Fairbanks North Star Borough,COUNTY,2024-11-14,328308
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Aleutians West Borough,COUNTY,2024-11-14,15094
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Yukon-Koyukuk Census Area,COUNTY,2024-11-14,46250
AK,Alaska,SOR,Alaska Sex Offender Registry,Branch,N/A,2024-05-02,2
AK,Alaska,SOR,Alaska Sex Offender Registry,Gogebic County,N/A,2024-05-02,1
AK,Alaska,SOR,Alaska Sex Offender Registry,Josephine,N/A,2024-05-02,1
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Southeast Fairbanks Census Area,COUNTY,2024-11-14,39528
AK,Alaska,SOR,Alaska Sex Offender Registry,STATEWIDE,N/A,2024-05-02,2
AK,Alaska,SOR,Alaska Sex Offender Registry,Los Angeles,N/A,2024-05-02,3
AK,Alaska,SOR,Alaska Sex Offender Registry,Dillingham Census Area,N/A,2024-05-02,91
AK,Alaska,SOR,Alaska Sex Offender Registry,Aleutians West Borough,N/A,2024-05-02,11
AL,Alabama,ARREST,Mecklenburg County,STATEWIDE,N/A,2024-05-02,2
AL,Alabama,ARREST,Alabama Arrest,Lee County,N/A,2025-07-22,382
AL,Alabama,ARREST,Lawrence County,STATEWIDE,N/A,2025-07-07,6453
AL,Alabama,DOC,Alabama Department Of Corrections,STATEWIDE,N/A,2024-11-13,59254
AL,Alabama,ARREST,Blount County,STATEWIDE,N/A,2024-05-02,507
AL,Alabama,ARREST,Marion County,Marion,N/A,2025-07-07,25851
AL,Alabama,ARREST,York County,STATEWIDE,N/A,2024-05-02,1
AL,Alabama,ARREST,Alabama Arrest,St. Clair County,N/A,2025-07-22,1139
AL,Alabama,ARREST,Cleburne County,STATEWIDE,N/A,2025-03-09,2951
AL,Alabama,ARREST,Alabama Arrest,Etowah County,N/A,2025-07-22,1022
AL,Alabama,ARREST,Russell County,STATEWIDE,N/A,2025-07-07,4495
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Dekalb County,N/A,2025-08-04,56
AL,Alabama,COURT,Uncategorized,Franklin,COUNTY,2024-05-02,14
AL,Alabama,ARREST,Alabama Arrest,Mobile County,N/A,2025-07-22,3653
AL,Alabama,ARREST,Coosa County,Coosa,N/A,2025-07-07,6572
