standardized_state,state_name,coverage_domain,source_count,total_records
NC,North Carolina,ARREST,99,8755863
NC,North Carolina,COUNTY,2,86114968
NC,North Carolina,DOC,2,6446239
NC,North Carolina,SEX_OFFENDER,3,87671
NC,North Carolina,STATEWIDE,3,1638770
NC,North Carolina,WARRANT,16,13504
ND,North Dakota,ARREST,9,111009
ND,North Dakota,COUNTY,1,1313219
ND,North Dakota,DOC,1,451418
ND,North Dakota,SEX_OFFENDER,2,10610
ND,North Dakota,STATEWIDE,1,150333
ND,North Dakota,WARRANT,1,18
NE,Nebraska,ARREST,163,602720
NE,Nebraska,DOC,1,291054
NE,Nebraska,SEX_OFFENDER,3,32569
NE,Nebraska,STATEWIDE,2,19800
NE,Nebraska,WARRANT,15,171855
NH,New Hampshire,ARREST,2,2263
NH,New Hampshire,DOC,2,45498
NH,New Hampshire,SEX_OFFENDER,2,13200
NH,New Hampshire,STATEWIDE,1,493
NH,New Hampshire,WARRANT,6,1257
NJ,New Jersey,ARREST,16,848749
NJ,New Jersey,COUNTY,1,4270764
NJ,New Jersey,DOC,1,488854
NJ,New Jersey,SEX_OFFENDER,1,14026
NJ,New Jersey,STATEWIDE,2,1622436
NJ,New Jersey,WARRANT,14,261
NM,New Mexico,ARREST,18,1183552
NM,New Mexico,COUNTY,2,2181928
NM,New Mexico,DOC,2,286798
NM,New Mexico,SEX_OFFENDER,1,8622
NM,New Mexico,STATEWIDE,1,386914
NM,New Mexico,WARRANT,1,111891
NV,Nevada,ARREST,24,673296
NV,Nevada,COUNTY,1,125049
NV,Nevada,DOC,1,502310
NV,Nevada,SEX_OFFENDER,1,53558
NV,Nevada,STATEWIDE,3,210312
NV,Nevada,WARRANT,3,70
NY,New York,ARREST,49,587495
NY,New York,COUNTY,2,308980
NY,New York,DOC,2,2169070
NY,New York,SEX_OFFENDER,1,54700
NY,New York,STATEWIDE,3,95850
NY,New York,WARRANT,17,13543
OH,Ohio,ARREST,100,2950816
OH,Ohio,COUNTY,126,13053232
OH,Ohio,DOC,2,1244768
OH,Ohio,SEX_OFFENDER,1,64541
OH,Ohio,STATEWIDE,320,14406666
OH,Ohio,WARRANT,13,3374
OK,Oklahoma,ARREST,41,1559732
OK,Oklahoma,COUNTY,2,4123416
OK,Oklahoma,DOC,2,939855
OK,Oklahoma,SEX_OFFENDER,1,38309
OK,Oklahoma,STATEWIDE,2,2303313
OK,Oklahoma,WARRANT,5,250
OR,Oregon,ARREST,46,3521022
OR,Oregon,COUNTY,2,10472748
OR,Oregon,DOC,1,507602
OR,Oregon,SEX_OFFENDER,2,10642
OR,Oregon,STATEWIDE,3,739642
OR,Oregon,WARRANT,10,1752
PA,Pennsylvania,ARREST,23,289213
PA,Pennsylvania,COUNTY,3,28027470
PA,Pennsylvania,DOC,3,579744
PA,Pennsylvania,SEX_OFFENDER,1,159247
PA,Pennsylvania,STATEWIDE,4,2055708
PA,Pennsylvania,WARRANT,6,30074
PR,Puerto Rico,SEX_OFFENDER,1,14406
RI,Rhode Island,ARREST,1,22084
RI,Rhode Island,COUNTY,1,1867004
RI,Rhode Island,DOC,1,100883
RI,Rhode Island,SEX_OFFENDER,1,4734
RI,Rhode Island,STATEWIDE,2,271144
SC,South Carolina,ARREST,34,3197404
SC,South Carolina,COUNTY,1,7783084
SC,South Carolina,DOC,1,520378
SC,South Carolina,SEX_OFFENDER,1,60451
SC,South Carolina,STATEWIDE,48,436409
SC,South Carolina,WARRANT,7,47064
SD,South Dakota,ARREST,8,86733
SD,South Dakota,COUNTY,1,367115
SD,South Dakota,DOC,1,107924
SD,South Dakota,SEX_OFFENDER,2,12196
SD,South Dakota,STATEWIDE,3,61254
TN,Tennessee,ARREST,100,3960200
TN,Tennessee,COUNTY,7,6463001
TN,Tennessee,DOC,1,3873383
TN,Tennessee,SEX_OFFENDER,2,75219
TN,Tennessee,STATEWIDE,76,8641177
TN,Tennessee,WARRANT,5,81009
TX,Texas,ARREST,163,10032854
TX,Texas,COUNTY,46,17154697
TX,Texas,DOC,1,9624475
TX,Texas,SEX_OFFENDER,1,319147
TX,Texas,STATEWIDE,29,22746067
TX,Texas,WARRANT,28,761983
UK,United Kingdom,ARREST,24,1113007
UK,United Kingdom,SEX_OFFENDER,1,22143
UK,United Kingdom,STATEWIDE,87,12166541
UT,Utah,ARREST,18,2269899
UT,Utah,COUNTY,1,7507021
UT,Utah,DOC,2,1969309
UT,Utah,SEX_OFFENDER,1,45860
UT,Utah,STATEWIDE,1,2759330
UT,Utah,WARRANT,2,7975
VA,Virginia,ARREST,114,2050254
VA,Virginia,COUNTY,1,40117411
VA,Virginia,DOC,1,2897
VA,Virginia,SEX_OFFENDER,1,187739
VA,Virginia,STATEWIDE,1,4004772
VA,Virginia,WARRANT,5,19864
VI,U.S. Virgin Islands,SEX_OFFENDER,2,632
VT,Vermont,ARREST,13,31076
VT,Vermont,COUNTY,1,49715
VT,Vermont,DOC,2,125571
VT,Vermont,SEX_OFFENDER,1,4117
VT,Vermont,STATEWIDE,1,2102
VT,Vermont,WARRANT,1,460
WA,Washington,ARREST,39,1661822
WA,Washington,COUNTY,3,7855162
WA,Washington,DOC,2,1355780
WA,Washington,SEX_OFFENDER,1,21337
WA,Washington,STATEWIDE,2,988574
WA,Washington,WARRANT,2,29
WI,Wisconsin,ARREST,78,1551582
WI,Wisconsin,COUNTY,1,3713941
WI,Wisconsin,DOC,1,1369840
WI,Wisconsin,SEX_OFFENDER,1,57816
WI,Wisconsin,STATEWIDE,1,960741
WI,Wisconsin,WARRANT,5,7821
WV,West Virginia,ARREST,60,459966
WV,West Virginia,COUNTY,2,181849
WV,West Virginia,DOC,3,98573
WV,West Virginia,SEX_OFFENDER,2,21679
WV,West Virginia,STATEWIDE,1,19782
WV,West Virginia,WARRANT,2,16
WY,Wyoming,ARREST,11,142957
WY,Wyoming,DOC,1,20330
WY,Wyoming,SEX_OFFENDER,1,7986
WY,Wyoming,STATEWIDE,1,551
WY,Wyoming,WARRANT,1,1042
